trackId,InitialFrame,TotalFrame,Distance,minVel                  ,maxVel,meanVel,VehicleClass,LaneChangeNum,RampVehicle
3929,13784,151,128.78,20.00,22.69,21.46,car,0,False
3940,13820,168,133.22,18.69,20.50,19.94,car,0,False
3945,13849,250,144.22,11.62,15.91,14.48,car,0,False
3953,13930,212,165.40,18.56,20.59,19.60,car,0,False
3955,13955,200,156.61,15.94,21.13,19.67,car,0,False
3990,14030,187,154.49,19.41,22.25,20.77,truck,0,False
4011,14137,156,104.37,16.00,18.09,16.84,bus,0,False
4021,14252,168,121.46,17.03,19.44,18.19,car,0,False
4022,14220,159,112.22,17.25,19.00,17.76,car,0,False
4031,14222,124,117.12,22.56,25.62,23.81,car,0,False
4040,14274,207,156.43,16.69,20.06,18.98,car,0,False
4045,14255,271,180.19,15.25,20.53,16.69,car,0,False
4087,14489,157,115.78,18.00,19.31,18.56,car,0,False
4095,14527,136,95.33,17.06,18.97,17.66,bus,0,False
4096,14532,209,154.53,15.84,23.47,18.58,car,1,True
4115,14610,203,139.37,16.44,18.28,17.25,car,0,False
4116,14613,153,102.40,15.47,18.09,16.84,car,0,False
4129,14631,238,160.52,13.50,19.44,16.93,car,1,True
4147,14700,261,171.68,15.62,18.37,16.51,car,0,False
4158,14783,152,106.73,16.38,19.50,17.67,car,0,False
4163,14841,223,151.24,14.00,18.94,17.02,car,0,False
4164,14789,184,139.83,15.97,23.66,19.10,car,0,False
4171,14823,278,168.11,11.91,18.97,15.16,car,1,True
4174,14853,206,143.70,15.69,19.00,17.52,car,0,False
4178,14863,159,108.44,12.69,21.44,17.16,truck,0,False
4179,15043,220,152.30,16.41,18.34,17.38,car,0,False
4210,14932,261,174.34,13.34,18.13,16.76,car,0,False
4219,14962,276,180.29,14.47,20.34,16.40,car,0,False
4252,15095,131,100.50,12.44,27.84,19.33,car,0,False
4254,15165,213,145.93,14.53,18.97,17.20,car,0,False
4279,15111,181,118.11,13.03,17.87,16.40,car,0,False
4281,15114,163,111.68,15.56,20.16,17.25,car,0,False
4292,15153,199,134.46,16.25,18.19,16.98,car,0,False
4298,15234,221,171.71,18.12,21.53,19.51,car,0,False
4303,15215,312,177.44,8.56,17.06,14.25,car,1,True
4319,15310,190,173.65,20.66,24.12,22.97,car,0,False
4324,15356,191,120.44,14.56,16.84,15.85,car,0,False
4351,15387,172,152.07,19.88,23.81,22.22,car,0,False
4396,15525,193,172.57,21.25,25.56,22.48,car,0,False
4421,15628,174,156.48,21.06,23.50,22.61,car,0,False
4450,15697,272,219.66,18.66,21.56,20.27,car,0,False
4459,15836,156,150.01,23.16,25.06,24.20,car,0,False
4491,15844,215,151.58,16.53,22.16,17.72,car,0,False
4512,15884,167,150.00,20.19,24.09,22.58,car,0,False
4513,15885,203,151.73,16.12,20.31,18.78,car,0,False
4555,16200,185,159.88,18.63,23.88,21.72,car,0,False
4574,16240,168,159.22,23.19,24.88,23.84,car,0,False
4588,16268,200,168.76,18.69,23.19,21.20,car,1,True
4608,16370,163,155.60,22.75,25.69,24.01,car,0,False
4627,16434,169,156.08,22.41,24.87,23.23,car,0,False
4683,16578,161,146.59,21.00,24.69,22.90,car,0,False
4684,16560,157,133.48,20.78,22.44,21.39,car,0,False
4722,16729,162,156.93,22.75,25.38,24.36,car,0,False
4726,16633,156,139.53,21.03,24.44,22.51,car,0,False
4743,16666,180,164.46,21.56,24.84,22.97,car,0,False
4753,16758,160,156.45,23.56,25.63,24.60,car,0,False
4792,16922,194,161.66,20.16,21.75,20.94,car,0,False
4796,16936,174,161.96,21.44,24.75,23.40,car,0,False
4815,17009,178,155.57,20.12,22.75,21.97,car,0,False
4860,17158,174,153.34,21.44,24.00,22.16,car,0,False
4862,17203,134,101.19,17.87,22.00,19.03,bus,0,False
4891,17286,138,121.99,21.12,23.31,22.26,car,0,False
4903,17293,191,137.08,14.37,19.19,18.03,car,0,False
4911,17373,218,167.27,17.62,23.06,19.28,car,0,False
4944,17406,183,157.35,20.66,23.87,21.62,car,0,False
4953,17423,203,174.03,19.72,24.50,21.54,car,0,False
4971,17565,171,146.92,20.56,22.31,21.60,car,0,False
4988,17544,252,160.52,12.69,18.19,15.98,car,3,True
5004,17642,202,172.38,20.50,23.00,21.44,car,0,False
5036,17751,194,168.71,19.97,25.75,21.87,car,0,False
5071,18001,175,166.74,22.38,25.25,23.96,car,0,False
5083,18067,177,154.77,21.12,22.75,21.99,car,0,False
5137,18253,195,167.63,20.75,22.87,21.61,car,0,False
5150,18341,203,160.16,18.72,20.59,19.82,car,0,False
5152,18346,148,128.10,19.56,23.94,21.78,car,0,False
5210,18719,180,156.57,20.34,23.31,21.87,car,0,False
5282,19115,184,176.01,22.19,25.00,24.04,car,0,False
5291,19145,262,167.90,12.25,17.38,16.08,car,0,False
5304,19196,144,129.59,21.81,23.59,22.66,car,0,False
5320,19273,179,167.39,21.56,25.44,23.51,car,0,False
5344,19334,160,145.75,20.34,23.88,22.91,car,0,False
5345,19369,185,156.39,19.22,22.94,21.25,car,0,False
5355,19376,144,81.09,10.91,15.38,14.17,car,0,False
5358,19384,235,127.53,11.16,15.34,13.62,car,1,True
5371,19431,156,131.85,18.50,22.50,21.27,car,0,False
5415,19571,217,165.13,15.00,20.94,19.10,car,0,False
5420,19604,187,152.05,19.25,21.50,20.44,car,0,False
5448,19739,178,132.32,17.25,20.50,18.69,truck,0,False
5452,19743,114,91.14,18.63,21.78,20.16,truck,0,False
5465,19864,144,117.50,18.94,21.75,20.54,car,0,False
5467,19869,201,155.30,17.00,20.59,19.41,car,0,False
